paper_id,title,authors,journal,year,volume,issue,pages,publisher,doi,url,type
paper_001,Temporal Performance Modelling of Serverless Computing Platforms,Nima Mahmoudi; Hamzeh Khazaei,Proceedings of the 2020 Sixth International Workshop on Serverless Computing,2020,,,1-6,ACM,10.1145/3429880.3430092,https://doi.org/10.1145/3429880.3430092,proceedings-article
paper_002,A Study of Triggering Serverless Functions in Serverless Environment,"Shashank Srivastava, Bineet Kumar Gupta",Tuijin Jishu/Journal of Propulsion Technology,2023,44,2,,Science Research Society,10.52783/tjjpt.v44.i2.990,https://doi.org/10.52783/tjjpt.v44.i2.990,journal-article
paper_003,Bringing Serverless Computing to the HPC Community,Devesh Tiwari,Proceedings of the 2nd Workshop on High Performance Serverless Computing,2022,,,1-2,ACM,10.1145/3526060.3536352,https://doi.org/10.1145/3526060.3536352,proceedings-article
paper_004,Selena,Florian Huber; Nikolai Körber; Markus Mock,Proceedings of the 5th International Workshop on Serverless Computing,2019,,,7-12,ACM,10.1145/3366623.3368134,https://doi.org/10.1145/3366623.3368134,proceedings-article
paper_005,Towards Serverless as Commodity,Nima Kaviani; Dmitriy Kalinin; Michael Maximilien,Proceedings of the 5th International Workshop on Serverless Computing,2019,,,13-18,ACM,10.1145/3366623.3368135,https://doi.org/10.1145/3366623.3368135,proceedings-article
